ts_utc,n_samples,n_out_of_range,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_avg,battery_v_min,battery2_v_min,power_w_avg,power_w_max,temp_c_avg,current_a_avg,energy_wh,boot_count_min,boot_count_max,scaled_channels
2020-05-21T02:00:00Z,4.0,4.0,2.134,2.144,,,2143.5,2139.0,,,,,,,1.0,4.0,solar_v
2020-05-21T03:00:00Z,21.0,21.0,2.124,2.145,,,2133.048,2119.0,,,,,,,5.0,33.0,solar_v
2020-05-21T04:00:00Z,25.0,25.0,2.107,2.134,,,2117.08,2098.0,,,,,,,34.0,60.0,solar_v
2020-05-21T05:00:00Z,26.0,26.0,2.097,2.128,,,2106.5,2091.0,,,,,,,64.0,90.0,solar_v
2020-05-21T06:00:00Z,22.0,22.0,1.811,2.11,,,2102.682,2084.0,,,,,,,93.0,118.0,solar_v
2020-05-21T07:00:00Z,27.0,27.0,1.926,2.105,,,2106.741,2082.0,,,,,,,120.0,149.0,solar_v
2020-05-21T08:00:00Z,23.0,23.0,2.075,2.118,,,2112.348,2088.0,,,,,,,150.0,177.0,solar_v
2020-05-21T09:00:00Z,28.0,28.0,2.08,2.115,,,2109.536,2096.0,,,,,,,178.0,207.0,solar_v
2020-05-21T10:00:00Z,28.0,28.0,1.978,2.128,,,2121.679,2097.0,,,,,,,208.0,236.0,solar_v
2020-05-21T11:00:00Z,30.0,30.0,3.364,3.532,,,2220.933,2137.0,,,,,,,237.0,266.0,solar_v
2020-05-21T12:00:00Z,29.0,29.0,3.532,3.532,,,2253.379,2241.0,,,,,,,267.0,295.0,solar_v
2020-05-21T13:00:00Z,30.0,30.0,3.532,3.532,,,2285.967,2263.0,,,,,,,296.0,325.0,solar_v
2020-05-21T14:00:00Z,27.0,27.0,3.532,3.532,,,2305.37,2253.0,,,,,,,326.0,354.0,solar_v
2020-05-21T15:00:00Z,30.0,30.0,3.532,3.532,,,2245.6,2240.0,,,,,,,355.0,384.0,solar_v
2020-05-21T16:00:00Z,30.0,30.0,3.532,3.532,,,2239.2,2237.0,,,,,,,385.0,414.0,solar_v
2020-05-21T17:00:00Z,29.0,29.0,3.532,3.532,,,2237.724,2237.0,,,,,,,415.0,443.0,solar_v
2020-05-21T18:00:00Z,30.0,30.0,3.532,3.532,,,2237.333,2236.0,,,,,,,444.0,473.0,solar_v
2020-05-21T19:00:00Z,29.0,29.0,3.532,3.532,,,2237.103,2233.0,,,,,,,474.0,502.0,solar_v
2020-05-21T20:00:00Z,22.0,22.0,3.532,3.532,,,2236.818,2235.0,,,,,,,503.0,532.0,solar_v
2020-05-21T21:00:00Z,29.0,29.0,3.532,3.532,,,2236.793,2233.0,,,,,,,533.0,561.0,solar_v
2020-05-21T22:00:00Z,30.0,30.0,2.849,3.532,,,2237.033,2235.0,,,,,,,562.0,591.0,solar_v
2020-05-21T23:00:00Z,29.0,29.0,2.222,2.227,,,2229.828,2224.0,,,,,,,592.0,620.0,solar_v
2020-05-22T00:00:00Z,30.0,30.0,2.079,2.216,,,2217.733,2207.0,,,,,,,621.0,650.0,solar_v
2020-05-22T01:00:00Z,22.0,22.0,2.19,2.203,,,2198.682,2181.0,,,,,,,651.0,678.0,solar_v
2020-05-22T02:00:00Z,29.0,29.0,2.173,2.189,,,2182.69,2162.0,,,,,,,679.0,708.0,solar_v
2020-05-22T03:00:00Z,29.0,29.0,2.143,2.179,,,2172.414,2145.0,,,,,,,709.0,737.0,solar_v
2020-05-22T04:00:00Z,27.0,27.0,2.124,2.17,,,2158.259,2133.0,,,,,,,738.0,766.0,solar_v
2020-05-22T05:00:00Z,28.0,28.0,2.13,2.158,,,2138.607,2123.0,,,,,,,767.0,795.0,solar_v
2020-05-22T06:00:00Z,28.0,28.0,2.05,2.144,,,2133.964,2118.0,,,,,,,797.0,825.0,solar_v
2020-05-22T07:00:00Z,26.0,26.0,2.068,2.143,,,2124.692,2110.0,,,,,,,826.0,854.0,solar_v
2020-05-22T08:00:00Z,27.0,27.0,2.143,2.151,,,2152.148,2144.0,,,,,,,855.0,883.0,solar_v
2020-05-22T09:00:00Z,30.0,30.0,2.139,2.146,,,2148.1,2144.0,,,,,,,884.0,913.0,solar_v
2020-05-22T10:00:00Z,29.0,29.0,2.167,2.65,,,2159.552,2147.0,,,,,,,914.0,942.0,solar_v
2020-05-22T11:00:00Z,30.0,30.0,3.442,3.532,,,2253.6,2233.0,,,,,,,943.0,972.0,solar_v
2020-05-22T12:00:00Z,29.0,29.0,3.532,3.532,,,2295.276,2263.0,,,,,,,973.0,1001.0,solar_v
2020-05-22T13:00:00Z,30.0,30.0,3.532,3.532,,,2261.467,2242.0,,,,,,,1002.0,1031.0,solar_v
2020-05-22T14:00:00Z,29.0,29.0,3.532,3.532,,,2238.897,2237.0,,,,,,,1032.0,1060.0,solar_v
2020-05-22T15:00:00Z,30.0,30.0,3.532,3.532,,,2237.133,2235.0,,,,,,,1061.0,1090.0,solar_v
2020-05-22T16:00:00Z,29.0,29.0,3.532,3.532,,,2235.897,2233.0,,,,,,,1091.0,1119.0,solar_v
2020-05-22T17:00:00Z,30.0,30.0,3.532,3.532,,,2236.0,2233.0,,,,,,,1120.0,1149.0,solar_v
2020-05-22T18:00:00Z,29.0,29.0,3.532,3.532,,,2235.517,2230.0,,,,,,,1150.0,1178.0,solar_v
2020-05-22T19:00:00Z,30.0,30.0,3.532,3.532,,,2235.433,2233.0,,,,,,,1179.0,1208.0,solar_v
2020-05-22T20:00:00Z,28.0,28.0,3.532,3.532,,,2235.643,2233.0,,,,,,,1209.0,1237.0,solar_v
2020-05-22T21:00:00Z,30.0,30.0,3.532,3.532,,,2235.8,2233.0,,,,,,,1238.0,1267.0,solar_v
2020-05-22T22:00:00Z,29.0,29.0,2.847,3.532,,,2235.517,2233.0,,,,,,,1268.0,1296.0,solar_v
2020-05-22T23:00:00Z,30.0,30.0,2.222,2.224,,,2230.5,2225.0,,,,,,,1297.0,1326.0,solar_v
2020-05-23T00:00:00Z,29.0,29.0,2.217,2.22,,,2225.172,2224.0,,,,,,,1327.0,1355.0,solar_v
2020-05-23T01:00:00Z,30.0,30.0,2.217,2.22,,,2225.633,2224.0,,,,,,,1356.0,1385.0,solar_v
2020-05-23T02:00:00Z,29.0,29.0,2.119,2.222,,,2224.931,2222.0,,,,,,,1386.0,1414.0,solar_v
2020-05-23T03:00:00Z,30.0,30.0,2.164,2.215,,,2221.2,2215.0,,,,,,,1415.0,1444.0,solar_v
2020-05-23T04:00:00Z,30.0,30.0,2.197,2.206,,,2206.367,2197.0,,,,,,,1445.0,1474.0,solar_v
2020-05-23T05:00:00Z,29.0,29.0,2.17,2.187,,,2178.172,2151.0,,,,,,,1475.0,1503.0,solar_v
2020-05-23T06:00:00Z,30.0,30.0,2.144,2.194,,,2150.1,2124.0,,,,,,,1504.0,1533.0,solar_v
2020-05-23T07:00:00Z,29.0,29.0,2.042,2.161,,,2154.552,2131.0,,,,,,,1534.0,1562.0,solar_v
2020-05-23T08:00:00Z,30.0,30.0,2.067,2.151,,,2149.933,2139.0,,,,,,,1563.0,1592.0,solar_v
2020-05-23T09:00:00Z,29.0,29.0,2.143,2.158,,,2156.172,2146.0,,,,,,,1593.0,1621.0,solar_v
2020-05-23T10:00:00Z,30.0,30.0,2.286,3.268,,,2183.367,2169.0,,,,,,,1622.0,1651.0,solar_v
2020-05-23T11:00:00Z,29.0,29.0,3.455,3.532,,,2276.828,2255.0,,,,,,,1652.0,1680.0,solar_v
2020-05-23T12:00:00Z,30.0,30.0,3.532,3.532,,,2276.867,2243.0,,,,,,,1681.0,1710.0,solar_v
2020-05-23T13:00:00Z,29.0,29.0,3.532,3.532,,,2239.552,2237.0,,,,,,,1711.0,1739.0,solar_v
2020-05-23T14:00:00Z,30.0,30.0,3.532,3.532,,,2237.233,2233.0,,,,,,,1740.0,1769.0,solar_v
